sleep,duke_decision,gpa,homesick,home_dist_mile,home_semester,year,where_from,major,gender,cat_dog,study_abroad,shooters_times,wt_gain_fresh,go_out_times,school_work_hrs,duke_satisfaction,involvement,religion,how_religious,coll_spouse,drink_times,drink_amount,plastic_bag,meaningful_activity,feel_now,clubs,drinks_to_drunk,duke_first_choice,dance_in_shooters_cage,eat_preference,parents_total_edu,siblings,meet_friends,social_life,men_facial_hair,vacation_dest,high_school,cat_love,cofee_tea,abp_times,parent_career,student_gov_hs,coats,tenting,movie,outgoing,play_sports,on_campus_job,abroad_times,weight_ounces,countries,why_stats,sport_events,tv_hrs_basket
7,Sports,3.15,No,1170,1,Sophomore,US - South,Social science,Female,Dogs,Yes,2,0,0,4,10,Independent,Catholic,8,Yes,0,0,No,Yes,4,2,3,Yes,No,The Refectory,8,1,"Club - other (academic, ethnic group, etc.)",Happy,Against,Tropical,Public,1,Coffee,9,No,No,4,No,Comedy,Yes,Yes,No,0,2160,0,Have to be,20,6
8,Academics (Duke ranking),3.771,Yes,400,1,Sophomore,US - Northeast,Social science,Female,Dogs,Yes,1,0,1,3,7,Independent,Catholicism,4,No,1,7,No,Yes,7,1,5,No,Yes,Great Hall,35,1,"Club - other (academic, ethnic group, etc.)",Somewhat happy,In favor,Tropical,Public,1,Coffee,4,No,No,2,No,Comedy,No,Yes,No,7,2304,7,Have to be,10,4
7.5,Academics (Duke ranking),3.75,No,25,2,First-year,US - South,Natural science,Male,Dogs,No,0,-5,0,2,9,Independent,Catholic,5,Yes,0,0,No,Yes,7,3,2,Yes,No,Armadillo Grill,8,2,Dorm,Somewhat happy,Against,Mountains,Public,2,Tea,1,No,No,2,Black,Comedy,No,Yes,NA,3,2544,3,Want to be,15,3
9,Academics (Duke ranking),3,No,450,2,Junior,US - Northeast,Social science,Female,Dogs,Yes,6,0,1,4,8,Independent,NA,2,No,1,9,No,Yes,8,0,7,Yes,Yes,Armadillo Grill,24,1,"Club - other (academic, ethnic group, etc.)",Somewhat happy,In favor,Home,Public,1,Coffee,0,No,No,6,No,Other,Yes,Yes,Yes,1,2000,2,Have to be,4,14
8,School spirit,3.4,Yes,500,1,First-year,US - Northeast,Arts/humanities,Male,Dogs,Yes,7,3,3,1,7,Greek,Catholicism,1,No,3,6,No,Yes,5,1,7,Yes,No,Armadillo Grill,16,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Home,Public,1,Tea,0,No,No,0,No,Other,No,Yes,No,5,2720,3,Have to be,6,1
6,Academics (Duke ranking),3.95,Yes,534,1,Senior,US - Northeast,Arts/humanities,Male,Dogs,No,1,-5,2,4,8,SLG,Atheist,1,No,2,4,No,Yes,8,5,7,Yes,Yes,The Refectory,42,1,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,In favor,Tropical,Public,1,Coffee,3,No,No,2,No,Other,No,Yes,No,7,2400,7,Have to be,0,0
9,Academics (Duke ranking),3.5,Yes,500,2,Sophomore,US - Northeast,Social science,Female,Dogs,Yes,15,5,3,3,9,Greek,Judaism,6,Yes,3,4,Yes,Yes,6,2,3,Yes,No,The Refectory,40,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Tropical,Public,1,Coffee,5,No,Yes,14,No,Other,Yes,Yes,No,30,2080,8,Have to be,1,3
8,Academics (Duke ranking),3.425,No,145,3,First-year,US - South,Arts/humanities,Female,Dogs,Yes,0,0,1,3,10,Independent,Catholicism,8,No,0,0,No,Yes,8,3,NA,Yes,No,The Loop,16,0,Dorm,Happy,Against,Urban,Private,1,Tea,0,No,No,8,White,Other,No,Yes,No,8,1832,10,Have to be,3,0
6,Academics (Duke ranking),3.8,Yes,600,2,Sophomore,US - Midwest,Social science,Female,Cats,Yes,0,20,2,4,6,Greek,Christianity - Methodist,6,Yes,2,3,Yes,Yes,6,4,3,Yes,Yes,The Refectory,32,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Mountains,Public,5,Coffee,0,No,Yes,5,No,Thriller,Yes,Yes,Yes,10,130,9,Have to be,20,0
6,Academics (Duke ranking),3.46,Yes,505,1,Senior,US - Northeast,Social science,Female,Dogs,Yes,30,5,4,5,5,Independent,Judaism,6,Yes,4,3,No,No,5,2,3,Yes,Yes,The Refectory,14,1,Parties,Somewhat happy,In favor,Mountains,Public,1,Coffee,1,No,No,6,No,Comedy,Yes,Yes,No,5,2224,10,Have to be,1,6
7,Academics (Duke ranking),3.825,No,2200,1,First-year,US - West,Natural science,Male,Cats,Yes,0,5,1,3,9,Independent,Atheism,1,No,0,0,No,Yes,7,2,NA,Yes,No,Marketplace,10,1,Dorm,Somewhat happy,Against,Tropical,Public,3,Tea,1.5,No,No,3,Blue,Action / adventure,No,No,Yes,4,2080,3,Have to be,1,0
6,Academics (Duke ranking),3.92,No,700,1.5,First-year,US - Northeast,Natural science,Female,Dogs,Yes,15,4,2.5,5,9,Greek,none,1,No,3,8,No,Yes,6,4,6.5,No,Yes,Marketplace,50,1,"Club - other (academic, ethnic group, etc.)",Happy,Against,Home,Private,2,Coffee,0,No,Yes,2,No,Comedy,Yes,Yes,No,3,1920,3,Have to be,6,0
8,School spirit,3.675,Yes,180,2,First-year,US - South,Social science,Female,Dogs,Yes,2,5,1,3,7,Greek,Judaism ,3,No,0,0,No,Yes,3,3,4,Yes,No,The Loop,36,1,Dorm,Somewhat happy,Against,Tropical,Private,2,Tea,1,No,Yes,4,No,Comedy,Yes,Yes,No,3,2480,3,Have to be,7,10
7,Academics (Duke ranking),3.5,No,NA,1,Sophomore,US - South,Social science,Female,Dogs,Yes,6,0,2,3,8,Independent,christianity,7,No,2,4,No,Yes,8,2,6,No,Yes,Au Bon Pain,8,0,"Club - other (academic, ethnic group, etc.)",Somewhat happy,In favor,Tropical,Public,1,Coffee,5,No,No,10,No,Action / adventure,No,No,NA,0,1680,0,Have to be,15,3
7.5,Academics (Duke ranking),3.8,No,270,0.5,Senior,US - South,Arts/humanities,Female,Dogs,Yes,0,0,0,6,8,Greek,Christian,10,No,0,0,Yes,Yes,7,4,2,Yes,No,The Refectory,16,2,"Club - other (academic, ethnic group, etc.)",Somewhat happy,Against,Mountains,Public,1,Tea,0.5,No,No,6,Black,Action / adventure,Yes,Yes,Yes,9,1920,10,Have to be,4,3
7,Academics (Duke ranking),3.57,Yes,2804,2,First-year,US - West,Social science,Male,Cats,Yes,1,20,1,3,3,Independent,Jewish,6,No,0,0,Yes,NA,5,3,4,Yes,No,The Refectory,11,0,Dorm,Somewhat unhappy,Against,Mountains,Private,4,Tea,0,Yes,Yes,5,Blue,Comedy,Yes,Yes,No,7,2560,10,Have to be,3,0
8,Sports,3.4,Yes,1,30,Junior,US - South,Social science,Male,Dogs,Yes,12,-10,2,30,3,Independent,love ,10,No,4,3,No,Yes,10,1,8,Yes,Yes,Au Bon Pain,16,2,"Club - other (academic, ethnic group, etc.)",Somewhat unhappy,In favor,Mountains,Public,1,Coffee,5,No,No,4,NA,Other,No,Yes,No,3,3200,7,Want to be,0,2
8,School spirit,3.4,No,2828,1,Sophomore,US - West,Natural science,Female,Dogs,Yes,6,-10,2,5,10,Greek,none,0,No,3,9,Yes,Yes,8,3,5,Yes,Yes,The Refectory,10,2,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Tropical,Public,3,Coffee,7,No,No,1,No,Comedy,Yes,No,No,8,128,4,Have to be,0,10
7,School spirit,3.66,No,400,1,Sophomore,US - Northeast,Social science,Male,Dogs,Yes,7,10,2,4,8,SLG,Christianity,7,No,3,5,No,Yes,7,2,6,Yes,Yes,The Refectory,10,1,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,In favor,Mountains,Private,2,Tea,4,No,Yes,4,White,Thriller,Yes,Yes,Yes,7,3056,8,Have to be,6,4
5,Academics (Duke ranking),2.6,Yes,3000,3,First-year,US - West,Other,Female,Dogs,Yes,0,0,0,5,5,Independent,Catholic,8,No,0,4,No,Yes,3,2,3,Yes,No,The Loop,24,2,Dorm,Happy,In favor,Tropical,Private,1,Tea,1,No,No,3,Blue,Comedy,No,Yes,No,7,1792,2,Have to be,2,3
8,Academics (Duke ranking),3.53,No,600,3,Sophomore,US - Northeast,Social science,Male,Dogs,Yes,40,-7,4,2,9,Greek,Christianity,7,Yes,5,10,Yes,Yes,2,5,10,Yes,NA,Au Bon Pain,12,2,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Mountains,Private,1,Tea,3,No,No,10,No,Other,Yes,Yes,No,12,2560,9,Have to be,2,10
8,Academics (Duke ranking),3.45,No,100,5,First-year,US - South,Social science,Male,Dogs,Yes,50,-15,4,6,9,Greek,Christianity,10,No,4,10,No,Yes,6,1,10,Yes,No,The Loop,12,4,Parties,Happy,Against,Tropical,Private,1,Coffee,0,No,Yes,10,No,Action / adventure,Yes,Yes,No,NA,NA,NA,Have to be,0,4
6,Academics (Duke ranking),3.75,Yes,9860,1,Sophomore,International,Arts/humanities,Female,Dogs,Yes,15,12,3,1,7,Greek,Christianity,5,No,3,3,No,Yes,3,1,7,No,Yes,The Loop,34,0,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Tropical,Private,1,Tea,4,No,Yes,5,No,Comedy,Yes,Yes,No,NA,1760,12,Have to be,1,2
6,Academics (Duke ranking),4.675,Yes,500,1,First-year,US - Northeast,Other,Female,Cats,Yes,NA,NA,2,NA,NA,SLG,NA,NA,Yes,NA,NA,No,Yes,3,2,3,No,No,Au Bon Pain,10,2,"Club - other (academic, ethnic group, etc.)",Neutral,Against,Tropical,Public,4,Tea,NA,No,NA,6,Blue,Comedy,No,Yes,Yes,NA,2000,25,Want to be,10,7
7,Duke engage/abroad,3.883,Yes,2800,1,Sophomore,US - West,Social science,Female,Dogs,No,0,4,0,4,7,Greek,Catholic ,7,No,0,1,Yes,Yes,5,3,4,Yes,No,The Refectory,12,2,"Club - social (frats, sororities, SLGs, etc.)",Somewhat unhappy,Against,Mountains,Private,2,Tea,3,No,No,4,No,Comedy,No,Yes,No,15,2240,3,Have to be,8,4
6,Academics (Duke ranking),3.87,Yes,2520,1,Sophomore,US - West,Social science,Female,Dogs,Yes,3,0,2,5,8,Greek,None,2,Yes,2,4,No,Yes,7,2,4,No,No,Au Bon Pain,NA,1,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,In favor,Tropical,Public,1,Coffee,6,No,Yes,12,No,Action / adventure,Yes,Yes,Yes,NA,2200,14,Have to be,6,3
7,Academics (Duke ranking),3.025,Yes,800,1,First-year,US - Northeast,Social science,Female,Dogs,Yes,2,-7,2,3,7,Independent,Self-invented philosophy,3,No,2,5,NA,Yes,7,4,4,No,Yes,Au Bon Pain,8,1,Dorm,Somewhat happy,Against,Home,Public,3,Coffee,2,No,Yes,4,Black,Comedy,No,Yes,No,10,1840,8,Want to be,10,4
6,Duke engage/abroad,3.3,Yes,512,3,Sophomore,US - Northeast,Social science,Female,Dogs,Yes,9,5,2,3,6,Independent,Jewish,5,No,2,5,Yes,Yes,6,3,6,No,No,The Refectory,13,1,Dorm,Somewhat happy,In favor,Urban,Public,1,Coffee,5,Yes,Yes,10,White,Comedy,Yes,No,Yes,10,160,11,Have to be,7,3
8,School spirit,3.7,No,180,3,Junior,US - South,Social science,Female,Dogs,Yes,20,10,3,7,8,Greek,Christianity,4,No,3,4,Yes,Yes,8,3,3,Yes,Yes,Au Bon Pain,36,2,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Tropical,Public,2,Tea,5,No,Yes,15,White,Action / adventure,Yes,No,Yes,5,1920,10,Have to be,20,5
7.2,Sports,3.57,Yes,2787,1,Junior,US - West,Social science,Female,Dogs,No,1,7,0,4,7,Independent,Christian (nondenominational),10,Yes,0,0,No,Yes,7,2,NA,No,Yes,The Loop,42,2,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,In favor,Mountains,Private,2,Coffee,4,No,No,5,No,Other,Yes,Yes,No,1,2192,2,Have to be,NA,2
7,Academics (Duke ranking),3.1,No,850,3,Sophomore,US - South,Social science,Male,Dogs,No,20,5,2.5,4,8,Greek,Judaism ,7,Yes,2.5,4,No,Yes,8,3,3.5,Yes,No,The Loop,8,2,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Urban,Private,3,Tea,0,No,No,5,Blue,Comedy,Yes,Yes,No,4,2560,4,NA,3,4
6,Academics (Duke ranking),3.75,No,8331,2,Senior,US - South,Natural science,Female,Dogs,Yes,2,10,2,6,9,Independent,NA,3,No,3,4,No,Yes,8,6,6,No,No,The Refectory,10,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Tropical,Private,1,Coffee,1,No,Yes,NA,Black,Comedy,Yes,Yes,Yes,NA,1888,32,Have to be,3,5
7,Academics (Duke ranking),3.1,Yes,1200,1,Sophomore,US - Midwest,Arts/humanities,Female,Dogs,Yes,0,10,0,3,8,Independent,Born again follower of Christ,10,Yes,0,0,No,Yes,8,3,NA,Yes,No,Au Bon Pain,40,1,Dorm,Somewhat happy,Against,Home,Private,1,Coffee,6,No,Yes,12,Blue,Comedy,Yes,No,Yes,1,2000,1,Have to be,2,15
7,Academics (Duke ranking),3.9,No,2300,1,Sophomore,US - West,Social science,Male,Dogs,Yes,0,4,3,5,9,SLG,None,1,No,3,4,No,Yes,7,2,4,No,No,The Refectory,16,2,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Tropical,Public,2,Coffee,7,Yes,No,3,No,Comedy,Yes,Yes,Yes,8,2640,25,Have to be,7,6
6,Academics (Duke ranking),3.5,No,1175.1,1,Sophomore,US - South,Social science,Female,Dogs,Yes,15,0,1,3,6,Independent,Hinduism,5,Yes,1,5,No,Yes,6,6,5,Yes,Yes,Au Bon Pain,10,1,Dorm,Neutral,Against,Tropical,Public,3,Coffee,7,No,No,0,Blue,Other,Yes,Yes,Yes,16,1840,15,Have to be,2,2
6,Academics (Duke ranking),3.5,No,1650,1,First-year,US - West,Natural science,Male,Dogs,Yes,1,2,2,3,9,Independent,Agnostic,1,No,2,6,Yes,No,6,0,4,Yes,No,Marketplace,12,1,Dorm,Somewhat happy,In favor,Mountains,Public,3,Tea,0,No,No,3,Black,Comedy,No,Yes,Yes,2,2176,1,Have to be,16,2
7,Academics (Duke ranking),3.624,No,360,2,Sophomore,US - South,Natural science,Male,Dogs,Yes,0,8,2,3,8,SLG,Christian (Catholic),8,Yes,0,0,No,Yes,8,3,5,No,No,The Refectory,30,1,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,Against,Home,Private,1,Coffee,2,No,No,7,No,Action / adventure,No,Yes,Yes,1,2528,2,Have to be,10,1
6,Academics (Duke ranking),3.233,Yes,810,1,First-year,US - South,Social science,Female,Cats,Yes,0,0,1,3,7,SLG,jewish humanism,2,No,0.5,0.5,Yes,Yes,6,3,NA,Yes,No,Marketplace,400,1,"Club - other (academic, ethnic group, etc.)",Happy,In favor,Tropical,Public,5,Coffee,0.5,No,No,1,No,Other,Yes,No,Yes,1,2880,1,Want to be,0,0
6.5,Academics (Duke ranking),3.2,Yes,1882,3,Sophomore,US - West,Social science,Female,Dogs,No,1,11,1,3,5,Greek,Hinduism,3,No,1,3,No,No,5,1,4,No,No,The Refectory,42,1,Dorm,Neutral,In favor,Tropical,Private,1,Tea,6,No,No,6,Blue,Comedy,Yes,No,No,22,1568,10,Have to be,4,9
7,Academics (Duke ranking),3.75,No,4544,1,Junior,International,Social science,Male,Dogs,Yes,0,5,2,3,8,Greek,Judaism,6,No,2,6,No,Yes,7,3,8,No,No,Au Bon Pain,40,0,"Club - social (frats, sororities, SLGs, etc.)",Neutral,Against,Urban,Public,3,Coffee,3,No,No,3,No,Thriller,Yes,Yes,No,60,2257,32,Have to be,4,2
5,Academics (Duke ranking),3.7,Yes,NA,0,Sophomore,International,Social science,Female,Dogs,No,0,8,1,6,8,SLG,I'm aethist,1,No,0,0,No,Yes,5,2,NA,No,No,The Refectory,30,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Urban,Public,3,Coffee,6,No,No,3,No,Other,No,No,Yes,NA,1693,5,Have to be,0,0
6,Sports,3.1,Yes,550,3,First-year,US - Northeast,Natural science,Female,Cats,No,1,0,1,3,8,Independent,Judaism,4,No,1,3,Yes,Yes,6,1,6,Yes,No,Au Bon Pain,9,2,"Club - other (academic, ethnic group, etc.)",Somewhat happy,In favor,Mountains,Public,5,Tea,5,No,No,3,No,Action / adventure,No,Yes,No,17,2752,14,Have to be,6,3
8,Academics (Duke ranking),3.55,Yes,30,3,First-year,US - South,Other,Female,Dogs,Yes,4,8,1,2,8,Independent,Agnostic,2,No,1,4,No,Yes,7,3,5,Yes,Yes,Au Bon Pain,8,1,Dorm,Happy,Against,Home,Public,1,Tea,1,No,No,11,White,Comedy,No,No,Yes,0,2432,1,Want to be,1,7
7,School spirit,4,Yes,550,1.5,Sophomore,US - Northeast,Other,Male,Dogs,Yes,0,1,2.5,5,8,SLG,Catholicism,8,Yes,0.5,7,No,Yes,9,8,6,No,No,Marketplace,11,1,Dorm,Somewhat happy,In favor,Tropical,Private,3,Tea,4,No,Yes,6,Black,Comedy,No,Yes,No,1,2448,1,Have to be,30,6
6,Academics (Duke ranking),3,No,2520,1,Sophomore,US - West,Social science,Male,NA,Yes,0,15,2,5,8,Independent,Agnostic,2,No,2,5,No,Yes,8,1,8,No,No,The Refectory,27,2,Dorm,Happy,Against,Home,Public,1,Coffee,1,No,Yes,1,Blue,Comedy,Yes,Yes,Yes,25,2400,15,Have to be,3,2
6,Academics (Duke ranking),3.65,No,1000,1,Sophomore,US - South,Natural science,Female,Dogs,Yes,10,10,2,6,10,Greek,Catholic,5,No,4,5,No,Yes,5,2,8,Yes,Yes,Au Bon Pain,42,1,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,Against,Tropical,Private,1,Tea,4,No,Yes,8,Black,Comedy,Yes,Yes,Yes,0,NA,0,Have to be,8,4
7,School spirit,3.85,No,1200,1,First-year,US - South,Social science,Female,Dogs,Yes,8,0,2,2,10,Greek,methodist,5,Yes,2,3,Yes,Yes,5,1,3,Yes,Yes,Au Bon Pain,16,2,Dorm,Happy,In favor,Tropical,Private,1,Tea,2,No,No,5,No,Comedy,No,Yes,Yes,13,1324234,13,Want to be,5,2
8,Sports,3.3,No,500,1,Junior,US - Northeast,Social science,Female,Dogs,Yes,2,5,0.5,4.5,8,Independent,Roman Catholic ,8,No,0.5,3,No,Yes,8,1,5.5,Yes,Yes,Au Bon Pain,12,3,"Club - other (academic, ethnic group, etc.)",Somewhat happy,Against,Tropical,Public,1,Coffee,8,No,No,1,No,Comedy,Yes,Yes,No,2,2144,2,Have to be,3,0
5,Academics (Duke ranking),3.5,No,2200,3,Senior,US - South,Natural science,Female,Dogs,No,2,-5,3,4,8,Independent,none,0,No,3,5,No,Yes,7,2,7,No,No,Au Bon Pain,12,1,Dorm,Somewhat happy,Against,Mountains,Public,4,Coffee,1,No,No,5,No,Thriller,Yes,No,No,4,1760,3,Have to be,2,2
6,Academics (Duke ranking),3.3,No,500,2,Senior,US - Northeast,Natural science,Male,Dogs,No,1,5,1,5,5,SLG,Agnostic,3,No,1,2,No,NA,7,2,6,Yes,No,The Refectory,8,3,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,Against,Home,Public,1,Tea,1,No,Yes,2,No,Other,Yes,Yes,No,NA,NA,NA,Want to be,2,5
7,Academics (Duke ranking),3.86,Yes,50,NA,Sophomore,US - South,Social science,Male,Dogs,Yes,10,-5,2,5,9,SLG,"Christianity, namely Presbyterian. ",7,No,2,7,Yes,Yes,9,5,6,Yes,Yes,Au Bon Pain,48,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Home,Public,1,Coffee,10,No,Yes,3,White,Horror,Yes,Yes,No,5,2240,5,Want to be,1,2
7,Academics (Duke ranking),3.44,No,200,1.5,Sophomore,US - South,Natural science,Female,Dogs,Yes,2,10,1.5,4,9,SLG,none,2,No,2,5,No,NA,4,2,4,Yes,No,Au Bon Pain,14,2,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Mountains,Public,1,Coffee,10,No,No,2,Black,Action / adventure,Yes,Yes,No,6,2640,8,Have to be,10,2
8,Academics (Duke ranking),3.62,Yes,7000,0,Junior,International,Social science,Female,Dogs,Yes,1,10,1,5,8,Independent,Christianity,7,No,2,3,No,Yes,8,1,3,No,No,Au Bon Pain,46,1,"Club - other (academic, ethnic group, etc.)",NA,Against,Urban,Private,2,Coffee,3,No,No,7,No,Other,No,No,No,20,1763,11,Have to be,0,2.5
5.5,Academics (Duke ranking),3.5,Yes,2000,2,Sophomore,US - West,Arts/humanities,Female,Dogs,Yes,0,0,2,4,10,Independent,Christian,7,No,2,2,No,Yes,5,2,3,No,No,Au Bon Pain,30,1,Class,Happy,In favor,Tropical,Public,3,Tea,5,No,No,9,Black,Comedy,Yes,No,Yes,4,2240,4,Have to be,8,2
7,Academics (Duke ranking),3.6,Yes,NA,0.25,Grad student,International,Other,Female,Dogs,Yes,0,11,0,12,8,Independent,NA,9,No,0,1,Yes,Yes,1,0,0,No,No,Marketplace,50,1,Class,Unhappy,Against,Urban,Private,5,Coffee,0,Yes,No,5,No,Comedy,Yes,Yes,No,1,NA,4,Have to be,0,0
6,Academics (Duke ranking),3.5,No,1200,1,Sophomore,US - South,Arts/humanities,Female,Dogs,Yes,2,5,1.5,4,9,SLG,catholicism ,4,No,1,3,Yes,Yes,7,1,4,Yes,Yes,The Refectory,34,3,Dorm,Somewhat happy,Against,Mountains,Public,1,Coffee,5,No,No,6,Black,Comedy,Yes,No,Yes,5,1920,10,Have to be,1,0
6,Academics (Duke ranking),4,Yes,300,1,First-year,US - South,Social science,Female,Dogs,Yes,3,3,1,6,9,Greek,athiest,1,Yes,1,5,No,Yes,7,3,5,No,Yes,Au Bon Pain,8,0,Dorm,Somewhat happy,In favor,Home,Public,1,Coffee,3,No,Yes,9,No,Comedy,Yes,No,Yes,7,160,10,Have to be,3,0
6,Academics (Duke ranking),3.7,Yes,372,2,First-year,US - South,Arts/humanities,Female,Dogs,Yes,0,-5,1,5,8,Independent,Christianity,9,Yes,0.5,6,No,Yes,4,2,7,No,No,The Loop,36,1,"Club - other (academic, ethnic group, etc.)",Somewhat happy,Against,Home,Private,1,Coffee,5,No,No,6,Blue,Action / adventure,Yes,Yes,Yes,7,1760,8,Have to be,4,2
NA,Academics (Duke ranking),3.35,Yes,2700,1,Junior,US - West,Natural science,Male,Dogs,No,8,-5,2,4,8,SLG,none,1,No,2.5,12,Yes,Yes,5,4,6,Yes,No,The Loop,10,2,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Tropical,Public,1,Coffee,2,No,No,4,White,Thriller,Yes,Yes,No,15,2800,20,Want to be,12,3
9,Academics (Duke ranking),3.24,No,500,1,Junior,US - Northeast,Social science,Male,Dogs,Yes,15,10,3,2,9,Greek,None,2,No,4,12,Yes,NA,7,2,8,Yes,No,Armadillo Grill,28,2,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Tropical,Private,1,Coffee,4,No,No,2,No,Other,Yes,Yes,Yes,2,2640,5,Want to be,4,5
7,Academics (Duke ranking),3.54,Yes,494,2,Junior,US - Midwest,Social science,Male,Dogs,No,12,15,1.5,2,8,SLG,Christianity,6,Yes,1.5,4.5,No,Yes,7,6,5,Yes,Yes,Great Hall,40,1,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,Against,Tropical,Private,3,Coffee,3,Yes,Yes,3,White,Comedy,Yes,Yes,Yes,38,215,5,Have to be,1,1
5,Academics (Duke ranking),3,Yes,2000,1.5,Sophomore,US - West,Social science,Female,Dogs,Yes,0,10,1,5,7,Independent,none,2,No,0,0,No,No,4,1,3,No,No,The Refectory,16,0,Class,Somewhat unhappy,Against,Home,Public,1,Coffee,3,No,No,6,White,Action / adventure,No,No,Yes,2,1840,2,Have to be,1,4
5,School spirit,3.64,No,3000,1,Senior,US - West,Social science,Male,Dogs,No,2,10,1,5,5,Greek,Roman Catholic,5,Yes,3,5,No,Yes,6,1,5,Yes,No,Armadillo Grill,15,4,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,In favor,Mountains,Private,1,Coffee,0,No,No,4,No,Action / adventure,No,Yes,NA,1,165,2,Have to be,5,2
7,Academics (Duke ranking),3.53,Yes,350,2,Junior,US - South,Social science,Male,Dogs,Yes,0,10,3,4,8,Greek,Catholic,7,Yes,3,6,No,Yes,5,3,4,No,No,Au Bon Pain,8,2,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Tropical,Private,1,Coffee,3,No,Yes,5,No,Comedy,No,Yes,No,3,2240,7,Have to be,0,10
